event_date,Armed clash,Shelling/artillery/missile attack,Remote explosive/landmine/IED,Air/drone strike,Disrupted weapons use
1/1/2022,5,8,0,0,0
1/2/2022,3,0,0,0,0
1/3/2022,1,4,0,0,0
1/4/2022,6,7,0,0,1
1/5/2022,2,3,0,0,0
1/6/2022,1,5,0,0,0
1/7/2022,4,4,0,0,0
1/8/2022,4,8,0,1,0
1/9/2022,8,16,0,0,0
1/10/2022,6,6,2,0,0
1/11/2022,8,12,0,0,0
1/12/2022,6,22,0,0,0
1/13/2022,2,15,0,0,0
1/14/2022,5,9,0,0,0
1/15/2022,4,2,0,0,0
1/16/2022,8,3,0,0,0
1/17/2022,6,6,0,0,0
1/18/2022,4,5,0,0,0
1/19/2022,3,4,0,0,1
1/20/2022,3,27,0,0,1
1/21/2022,3,9,0,0,0
1/22/2022,5,9,0,1,0
1/23/2022,7,9,0,0,0
1/24/2022,5,7,0,0,0
1/25/2022,9,17,0,0,0
1/26/2022,9,5,0,0,0
1/27/2022,6,5,0,0,0
1/28/2022,3,9,0,0,0
1/29/2022,3,12,0,0,0
1/30/2022,5,9,0,0,0
1/31/2022,8,10,0,0,0
2/1/2022,13,10,0,0,0
2/2/2022,12,10,0,1,0
2/3/2022,4,2,0,0,0
2/4/2022,7,5,0,0,0
2/5/2022,8,5,0,1,1
2/6/2022,5,7,0,0,0
2/7/2022,7,7,0,0,0
2/8/2022,4,7,0,1,0
2/9/2022,7,3,0,0,0
2/10/2022,11,17,0,1,1
2/11/2022,8,13,0,1,1
2/12/2022,2,10,0,2,0
2/13/2022,8,7,0,0,0
2/14/2022,5,14,0,1,1
2/15/2022,5,13,0,0,0
2/16/2022,5,21,0,2,0
2/17/2022,17,71,0,0,0
2/18/2022,7,96,1,0,0
2/19/2022,16,111,0,0,0
2/20/2022,11,129,0,0,0
2/21/2022,17,111,0,1,0
2/22/2022,22,102,0,0,0
2/23/2022,4,43,0,0,0
2/24/2022,21,34,1,3,0
2/25/2022,45,19,4,4,1
2/26/2022,28,29,2,5,2
2/27/2022,20,17,0,1,1
2/28/2022,16,48,1,8,1
3/1/2022,15,44,0,14,0
3/2/2022,28,38,3,11,2
3/3/2022,37,45,2,7,0
3/4/2022,32,29,1,3,0
3/5/2022,16,33,0,6,1
3/6/2022,18,30,0,2,0
3/7/2022,39,26,0,1,0
3/8/2022,20,48,1,10,1
3/9/2022,21,28,2,5,3
3/10/2022,19,35,0,6,1
3/11/2022,24,46,1,9,3
3/12/2022,8,29,2,6,1
3/13/2022,6,42,2,11,0
3/14/2022,56,36,0,2,1
3/15/2022,16,26,1,11,0
3/16/2022,12,40,0,4,1
3/17/2022,5,46,1,3,3
3/18/2022,13,48,0,2,4
3/19/2022,7,31,0,3,1
3/20/2022,13,25,1,1,2
3/21/2022,11,26,0,0,0
3/22/2022,13,35,1,2,3
3/23/2022,7,34,0,2,3
3/24/2022,7,66,1,4,4
3/25/2022,24,39,0,2,3
3/26/2022,21,36,1,3,3
3/27/2022,14,28,0,2,1
3/28/2022,16,24,0,1,1
3/29/2022,21,32,1,11,2
3/30/2022,1,35,1,9,0
3/31/2022,9,53,3,2,0
4/1/2022,15,46,0,4,5
4/2/2022,10,31,0,1,1
4/3/2022,7,32,2,3,0
4/4/2022,10,28,0,1,0
4/5/2022,15,37,1,2,4
4/6/2022,9,42,0,1,0
4/7/2022,14,66,1,3,3
4/8/2022,20,36,1,1,3
4/9/2022,7,41,1,4,2
4/10/2022,3,54,0,1,1
4/11/2022,11,45,0,2,2
4/12/2022,8,35,1,4,0
4/13/2022,5,30,1,0,0
4/14/2022,14,57,2,2,3
4/15/2022,12,39,3,1,2
4/16/2022,4,41,2,0,1
4/17/2022,6,46,2,2,0
4/18/2022,14,42,0,1,2
4/19/2022,6,46,2,0,2
4/20/2022,18,17,1,0,2
4/21/2022,10,58,0,1,3
4/22/2022,21,30,2,5,6
4/23/2022,7,53,2,14,0
4/24/2022,12,35,0,0,1
4/25/2022,10,61,2,0,2
4/26/2022,15,38,0,0,1
4/27/2022,16,52,1,2,3
4/28/2022,20,65,5,5,8
4/29/2022,18,40,1,4,1
4/30/2022,13,52,0,3,0
5/1/2022,15,40,0,20,1
5/2/2022,11,48,0,3,2
