Event,Date_str,US_centric,Date_dt
War Start,"February 24, 2022",0,2022-02-24
Griner Plead ,"July 7, 2022",1,2022-07-07
Dugan Daughter ,"August 21, 2022",0,2022-08-21
Withdraw from Kharkiv,"September 10, 2022",0,2022-09-10
Nord Stream Pipeline ,"September 26, 2022",0,2022-09-26
Russia Pushed Back,"October 4, 2022",0,2022-10-04
Bridge to Crimea ,"October 8, 2022",0,2022-10-08
Poland Missile Strike,"November 15, 2022",0,2022-11-15
Whelan and Griner ,"December 8, 2022",1,2022-12-08
Zelensky in U.S.,"December 21, 2022",1,2022-12-21
U.S. Sends Tanks ,"January 26, 2023",0,2023-01-26
Anniversary of War,"February 24, 2023",0,2023-02-24
