,bucket,count
0,0,1684036
1,1,2750002
2,2,2341075
3,3,1824730
4,4,1373864
5,5,1047038
6,6,816336
7,7,647227
8,8,531766
9,9,423293
10,10,352099
11,11,292687
12,12,242570
13,13,210607
14,14,174299
15,15,150034
16,16,129858
17,17,112679
18,18,99849
19,19,87022
20,20,76239
21,21,78560
22,22,61319
23,23,56416
24,24,51393
25,25,47095
26,26,42565
27,27,39160
28,28,34947
29,29,31399
30,30,28819
31,31,25995
32,32,23155
33,33,20852
34,34,19080
35,35,16919
36,36,15633
37,37,14147
38,38,12982
39,39,11523
40,40,10552
41,41,9842
42,42,9012
43,43,8339
44,44,7585
45,45,6922
46,46,6610
47,47,6123
48,48,5772
49,49,5288
50,50,4958
51,51,4707
52,52,4359
53,53,4062
54,54,3795
55,55,3371
56,56,3326
57,57,3192
58,58,3006
59,59,2790
60,60,2572
61,61,2378
62,62,2422
63,63,2182
64,64,2058
65,65,1936
66,66,1862
67,67,1778
68,68,1702
69,69,1592
70,70,1507
71,71,1429
72,72,1410
73,73,1298
74,74,1310
75,75,1185
76,76,1119
77,77,1094
78,78,967
79,79,933
80,80,937
81,81,864
82,82,869
83,83,814
84,84,742
85,85,652
86,86,729
87,87,652
88,88,644
89,89,654
90,90,607
91,91,568
92,92,538
93,93,524
94,94,471
95,95,495
96,96,438
97,97,422
98,98,425
99,99,381
100,100,414
101,101,384
102,102,332
103,103,371
104,104,333
105,105,297
106,106,302
107,107,319
108,108,276
109,109,297
110,110,255
111,111,233
112,112,250
113,113,265
114,114,236
115,115,221
116,116,223
117,117,221
118,118,218
119,119,202
120,120,181
121,121,199
122,122,161
123,123,168
124,124,165
125,125,161
126,126,169
127,127,147
128,128,141
129,129,150
130,130,142
131,131,126
132,132,106
133,133,130
134,134,141
135,135,123
136,136,116
137,137,125
138,138,103
139,139,99
140,140,98
141,141,91
142,142,91
143,143,98
144,144,97
145,145,99
146,146,99
147,147,78
148,148,87
149,149,92
150,150,81
151,151,83
152,152,74
153,153,66
154,154,55
155,155,68
156,156,68
157,157,69
158,158,79
159,159,63
160,160,48
161,161,66
162,162,68
163,163,68
164,164,52
165,165,56
166,166,59
167,167,50
168,168,61
169,169,42
170,170,55
171,171,47
172,172,47
173,173,43
174,174,43
175,175,47
176,176,47
177,177,46
178,178,46
179,179,45
180,180,41
181,181,40
182,182,39
183,183,36
184,184,32
185,185,31
186,186,41
187,187,42
188,188,30
189,189,28
190,190,25
191,191,29
192,192,22
193,193,45
194,194,29
195,195,43
196,196,41
197,197,30
198,198,34
199,199,39
200,200,28
201,201,29
202,202,24
203,203,25
204,204,31
205,205,27
206,206,17
207,207,27
208,208,28
209,209,24
210,210,37
211,211,26
212,212,27
213,213,31
214,214,29
215,215,20
216,216,24
217,217,14
218,218,15
219,219,25
220,220,15
221,221,25
222,222,22
223,223,16
224,224,16
225,225,18
226,226,15
227,227,15
228,228,20
229,229,21
230,230,15
231,231,17
232,232,16
233,233,11
234,234,17
235,235,11
236,236,17
237,237,7
238,238,16
239,239,26
240,240,34
241,241,14
242,242,15
243,243,15
244,244,12
245,245,9
246,246,12
247,247,18
248,248,18
249,249,17
250,250,12
251,251,25
252,252,19
253,253,13
254,254,14
255,255,14
256,256,19
257,257,14
258,258,11
259,259,13
260,260,7
261,261,13
262,262,13
263,263,16
264,264,9
265,265,12
266,266,5
267,267,4
268,268,11
269,269,13
270,270,8
271,271,6
272,272,7
273,273,13
274,274,9
275,275,9
276,276,7
277,277,2
278,278,8
279,279,13
280,280,11
281,281,13
282,282,5
283,283,4
284,284,14
285,285,6
286,286,9
287,287,3
288,288,6
289,289,4
290,290,8
291,291,10
292,292,5
293,293,9
294,294,10
295,295,4
296,296,6
297,297,4
298,298,5
299,299,9
300,300,10
301,301,7
302,302,7
303,303,7
304,304,10
305,305,9
306,306,11
307,307,13
308,308,11
309,310,4
310,311,4
311,312,7
312,313,4
313,314,6
314,315,3
315,316,3
316,317,4
317,318,7
318,319,3
319,320,3
320,321,3
321,322,9
322,324,2
323,325,2
324,326,2
325,327,2
326,328,1
327,329,2
328,330,1
329,331,4
330,332,1
331,333,3
332,335,1
333,336,2
334,337,2
335,338,1
336,339,1
337,340,2
338,342,1
339,344,2
340,345,1
341,346,1
342,348,3
343,350,2
344,351,1
345,355,1
346,356,1
347,360,1
348,362,1
349,367,1
350,369,1
351,395,1
