date_clean,Frequency of Comments
2022-01-01,12268
2022-01-02,16632
2022-01-03,14779
2022-01-04,14054
2022-01-05,17676
2022-01-06,14284
2022-01-07,17784
2022-01-08,12334
2022-01-09,16052
2022-01-10,16382
2022-01-11,20815
2022-01-12,20459
2022-01-13,26985
2022-01-14,27360
2022-01-15,20952
2022-01-16,20621
2022-01-17,23724
2022-01-18,27076
2022-01-19,30390
2022-01-20,33827
2022-01-21,42628
2022-01-22,29772
2022-01-23,30062
2022-01-24,34674
2022-01-25,38728
2022-01-26,29297
2022-01-27,26952
2022-01-28,28818
2022-01-29,29464
2022-01-30,25344
2022-01-31,21799
2022-02-01,31522
2022-02-02,30947
2022-02-03,27755
2022-02-04,23597
2022-02-05,28981
2022-02-06,26551
2022-02-07,25088
2022-02-08,35062
2022-02-09,35108
2022-02-10,28991
2022-02-11,37437
2022-02-12,38453
2022-02-13,32470
2022-02-14,40784
2022-02-15,76378
2022-02-16,55644
2022-02-17,59039
2022-02-18,53338
2022-02-19,67261
2022-02-20,67413
2022-02-21,87245
2022-02-22,96896
2022-02-23,83874
2022-02-24,317101
2022-02-25,289923
2022-02-26,279135
2022-02-27,283834
2022-02-28,257992
2022-03-01,228398
2022-03-02,194297
2022-03-03,180121
2022-03-04,199779
2022-03-05,158809
2022-03-06,131886
2022-03-07,136048
2022-03-08,140051
2022-03-09,132300
2022-03-10,131072
2022-03-11,112836
2022-03-12,96217
2022-03-13,95234
2022-03-14,102716
2022-03-15,102472
2022-03-16,115425
2022-03-17,112320
2022-03-18,95788
2022-03-19,81654
2022-03-20,77332
2022-03-21,87051
2022-03-22,82080
2022-03-23,81369
2022-03-24,95226
2022-03-25,89538
2022-03-26,73805
2022-03-27,64899
2022-03-28,55922
2022-03-29,60375
2022-03-30,56139
2022-03-31,63636
2022-04-01,60264
2022-04-02,42334
2022-04-03,48058
2022-04-04,49523
2022-04-05,59980
2022-04-06,74149
2022-04-07,64451
2022-04-08,51497
2022-04-09,39755
2022-04-10,41788
2022-04-11,44820
2022-04-12,64228
2022-04-13,62632
2022-04-14,68334
2022-04-15,55587
2022-04-16,43694
2022-04-17,42708
2022-04-18,41095
2022-04-19,45562
2022-04-20,50719
2022-04-21,49299
2022-04-22,44942
2022-04-23,38873
2022-04-24,45889
2022-04-25,47787
2022-04-26,52540
2022-04-27,52295
