Country,Plant category,Plant type,Construction costs (USD/MWh),Refurbishment costs (USD/MWh),Decommissioning costs (USD/MWh),Total capital costs (USD/MWh),Operations & maintenance costs (USD/MWh),Energy type,Total Fuel cost (USD/MWh),energy_type
Japan,Nuclear,ALWR (1152 MW),46.87,0,0.05,46.92,25.84,Nuclear,13.92,ALWR
"Korea, Republic of",Nuclear,ALWR (1377 MW),25.51,0,0.03,25.54,18.44,Nuclear,9.33,ALWR
Italy,Biomass,Biomass (0.42 MW),70.23,0,0.19,70.42,59,Biomass,175.04,Biomass
Italy,Biomass,Biomass (0.45 MW),48.93,0,0.13,49.07,26.89,Biomass,0,Biomass
Brazil,Biomass,Biomass (25.0 MW),34.68,0,0.09,34.78,18.75,Biomass,0,Biomass
India,Biomass,Biomass (30.0 MW),9.32,0,0.03,9.34,2.24,Biomass,154.05,Biomass
Italy,CHP,Biomass (CHP) (0.42 MW),70.23,0,0.19,70.42,59,CHP,170.44,Biomass
Denmark,CHP,Biomass (CHP) (177 MW),83.54,0,0.23,83.76,33.29,CHP,143.98,Biomass
Denmark,CHP,Biomass (CHP) (258 MW),49.14,0,0.13,49.27,19.36,CHP,109.67,Biomass
Denmark,CHP,Biomass (CHP) (261 MW),56.51,0,0.15,56.66,20.78,CHP,167.51,Biomass
Denmark,CHP,Biomass (CHP) (358 MW),42.26,0,0.11,42.37,14.28,CHP,136.25,Biomass
United States,Coal,Coal (641 MW),46.48,0,0.13,46.61,29.5,Coal,24.47,Coal
Brazil,Lignite,Coal (900 MW),24.48,0,0.07,24.55,8.6,Lignite,42.56,Coal
United States,Coal,Coal (CCUS) (499 MW),66.99,0,0.18,67.17,42.96,Coal,30.63,Coal
France,Fuel cell,Fuel cell (0.003 MW),82.3,0,0.96,83.26,42.66,Fuel cell,161.11,Fuel cell
France,Fuel cell,Fuel cell (0.20 MW),74.82,0,0.87,75.69,22.59,Fuel cell,161.11,Fuel cell
Norway,Fuel cell,Fuel cell (1.0 MW),44.74,0,0.52,45.26,1.69,Fuel cell,161.11,Fuel cell
France,Fuel cell,Fuel cell (15.2 MW),29.93,0,0.35,30.28,36.75,Fuel cell,161.11,Fuel cell
Japan,Gas,Gas (CCGT) (1372 MW),12.86,0,0.07,12.93,7.7,Gas,95.16,Gas
Canada,Gas,Gas (CCGT) (471 MW),12.27,0,0.07,12.34,6.96,Gas,30.11,Gas
China,Gas,Gas (CCGT) (475 MW),6.49,0,0.04,6.53,13.49,Gas,84.58,Gas
"Korea, Republic of",Gas,Gas (CCGT) (491 MW),12.84,0,0.07,12.91,11.36,Gas,94.94,Gas
Belgium,Gas,Gas (CCGT) (500 MW),11.71,0,0.06,11.77,4.8,Gas,69.95,Gas
Belgium,Gas,Gas (CCGT) (500 MW),8.9,0,0.05,8.95,6,Gas,73.18,Gas
Belgium,Gas,Gas (CCGT) (500 MW),11.29,0,0.06,11.36,6.67,Gas,74.36,Gas
Mexico,Gas,Gas (CCGT) (503 MW),7.76,0,0.04,7.81,5.28,Gas,32.54,Gas
Australia,Gas,Gas (CCGT) (506 MW),11.07,0,0.06,11.14,6.59,Gas,82.67,Gas
United States,Gas,Gas (CCGT) (727 MW),11.04,0,0.06,11.1,5.3,Gas,29.3,Gas
Romania,Gas,Gas (CCGT) (750 MW),2.94,0.06,0.02,3.01,46.27,Gas,74.36,Gas
Mexico,Gas,Gas (CCGT) (785 MW),7.74,0,0.04,7.78,5.73,Gas,29.21,Gas
Italy,Gas,Gas (CCGT) (790 MW),6.85,0,0.04,6.88,6.99,Gas,72.8,Gas
Mexico,Gas,Gas (CCGT) (835 MW),5.41,0,0.03,5.44,5.51,Gas,29.81,Gas
Brazil,Gas,Gas (CCGT) (980 MW),11.11,0,0.06,11.17,11.21,Gas,29.75,Gas
"Korea, Republic of",Gas,Gas (CCGT) (982 MW),9.72,0,0.05,9.78,8.41,Gas,92.35,Gas
Australia,Gas,"Gas (CCGT, CCUS) (437 MW)",32.78,0,0.18,32.96,12.87,Gas,91.59,Gas
United States,Gas,"Gas (CCGT, CCUS) (646 MW)",27.97,0,0.16,28.13,14.22,Gas,33.83,Gas
Slovakia,CHP,"Gas (CCGT, CHP) (5.8 MW)",16.34,3.37,0.09,19.8,7.74,CHP,111.76,Gas
Denmark,CHP,"Gas (CCGT, CHP) (500 MW)",17.69,0,0.1,17.78,11.96,CHP,74.77,Gas
Canada,Gas,Gas (OCGT/int. comb.) (100 MW),36.2,0,0.21,36.41,8.7,Gas,37.36,Gas
