Country Name,Country Code,Year,Electricity production from coal sources (% of total),"Electricity production from oil, gas and coal sources (% of total)",Electricity production from hydroelectric sources (% of total),Electric power transmission and distribution losses (% of output),Electricity production from natural gas sources (% of total),Electricity production from nuclear sources (% of total),Electricity production from oil sources (% of total),Renewable electricity output (% of total electricity output),"Electricity production from renewable sources, excluding hydroelectric (kWh)","Electricity production from renewable sources, excluding hydroelectric (% of total)",Renewable energy consumption (% of total final energy consumption),GDP per unit of energy use (PPP $ per kg of oil equivalent),GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),"Energy imports, net (% of energy use)",Alternative and nuclear energy (% of total energy use),Fossil fuel energy consumption (% of total),"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",Combustible renewables and waste (% of total energy),Electric power consumption (kWh per capita),Energy use (kg of oil equivalent per capita),Adjusted savings: energy depletion (% of GNI),Fuel imports (% of merchandise imports)
Afghanistan,AFG,1971-01-01,,,,,,,,,,,,,,,,,,,,,0.0113339735838185,5.000145628517906
Albania,ALB,1971-01-01,0.0,42.857142857142854,57.14285714285714,4.979591836734694,0.0,0.0,42.857142857142854,,0.0,0.0,,,,-41.699411695534685,3.5044457561860454,74.6607032875427,,21.83485095627127,532.0284315262497,785.1615259343292,,
Algeria,DZA,1971-01-01,0.0,85.19515477792731,14.804845222072679,10.722296994167788,38.85150291610588,0.0,46.34365186182144,,0.0,0.0,,,,-1098.0529727423689,0.81917504627704,98.99981555572425,,0.1785270493736255,141.10288881056925,245.52760184407512,5.17900880441511,3.4873138339587886
Angola,AGO,1971-01-01,0.0,18.463611859838274,81.53638814016172,25.067385444743934,0.0,0.0,18.463611859838274,,0.0,0.0,,,,-136.78991717972718,1.3511660591656478,15.834196369121011,,82.81463757171335,90.01061833895118,623.3960585386322,,3.0080407379985714
Argentina,ARG,1971-01-01,3.0858449034879785,93.22299356586522,6.535726379952591,10.15916017609211,22.925838130714528,0.0,67.21131053166272,,57000000.0,0.24128005418218762,,,,9.18357827656254,0.39462511698641733,92.88439654177584,,6.72353123146164,875.7655156202609,1389.0769326607985,0.306210266210483,6.682967946720835
Armenia,ARM,1971-01-01,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,1971-01-01,71.03214252050147,77.67178810443963,21.832406447356018,8.986709397681214,3.26892261287586,0.0,3.370722971062306,,263000000.0,0.49580544820435485,,,,-4.3355503097618895,1.9296491018688011,91.17777518588038,,6.892575712250823,3751.6425755584755,3989.6297441447014,0.0631690108933536,4.761992624809091
Austria,AUT,1971-01-01,13.119636905184029,41.67080348911425,57.50301397064038,7.283171406283243,16.250620523367136,0.0,12.30054606056308,,233000000.0,0.8261825402453727,,,,60.85222116090063,7.412454964402027,90.19969369309229,,3.5767092799215265,3213.126836381982,2508.520919055602,0.0227970621943566,8.1620974512302
Azerbaijan,AZE,1971-01-01,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,1971-01-01,0.0,100.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,,,,-657.2483344382658,0.0,,,0.0,1861.5363302625199,6099.0597076955055,,27.86396195905733
Bangladesh,BGD,1971-01-01,0.0,83.00970873786407,16.990291262135923,31.06796116504854,39.90291262135922,0.0,43.10679611650485,,0.0,0.0,,,,14.729219883402154,0.26469133648547594,21.3797084279832,,78.35560023553131,10.383729403872728,83.15565456075919,,
Belarus,BLR,1971-01-01,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,1971-01-01,26.885699672052233,99.59683485272437,0.4031651472756265,4.958329572464422,18.575683725968048,0.0,54.135451454704096,,0.0,0.0,,,,82.741679856434,0.029057327252374032,,,0.0,3217.045263999507,4099.955319677268,0.00569922461636187,9.514858515476261
Benin,BEN,1971-01-01,,,,,,,,,0.0,,,,,9.29737967633745,0.0,9.040451484101945,,90.70262032366256,10.361415900434563,357.78551933844955,0.0,3.63008179390161
Bolivia,BOL,1971-01-01,0.0,12.884615384615383,86.34615384615385,26.923076923076923,2.8846153846153846,0.0,10.0,,8000000.0,0.7692307692307693,,,,-124.871746636411,7.56665451737936,73.36699861654891,,19.066346866071747,162.10680833664122,217.7000584651002,,1.250070510074121
Bosnia and Herzegovina,BIH,1971-01-01,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,1971-01-01,,,,,,,,,,,,,,,,,,,,,0.0,
Brazil,BRA,1971-01-01,3.3037341502190856,15.047113110240801,83.75470161696848,13.04626003334755,0.0,0.0,11.743378960021715,,618000000.0,1.1981852727907247,,,,29.607707198962192,5.323867581835544,43.65431582096412,,51.024034926709646,453.9099414164477,706.5390470076187,0.092884190003626,14.160800004156046
Brunei Darussalam,BRN,1971-01-01,0.0,100.0,0.0,4.8,98.4,0.0,1.6,,0.0,0.0,,,,-3651.9178151744063,0.0,91.05489707151683,,8.94510292848318,1716.3544055500267,1278.316241905009,,1.0144657030042963
Bulgaria,BGR,1971-01-01,81.50456794822992,89.6745336886182,10.325466311381804,7.913018652455273,0.0,0.0,8.169965740388276,,0.0,0.0,,,,69.97779179796134,0.9809222656161095,97.5216127997793,,1.3989154138777633,2292.653983326685,2228.6870511498123,,
Cambodia,KHM,1971-01-01,,,,,,,,,,,,,,,,,,,,,,3.105712378752926
Cameroon,CMR,1971-01-01,0.0,2.697674418604651,97.30232558139534,5.209302325581396,0.0,0.0,2.697674418604651,,0.0,0.0,,,,9.007062594961017,3.33765585664806,9.007099698165433,,87.65528154839095,153.75678061366912,406.676122432043,0.0,6.143153267676995
Canada,CAN,1971-01-01,18.801080091780754,24.840758588668052,73.23572236772708,7.6886666997245685,3.144707955984907,1.9235190436048737,2.8949705409023903,,0.0,0.0,,,,-10.24871865292163,10.670940083899549,84.15415429868938,,5.393384785609225,9166.683665700879,6436.22625629541,0.669937617652776,5.8410124824389476
Chile,CHL,1971-01-01,16.14265603003285,42.80854059127171,56.417175035194745,11.227123416236509,1.1145002346316284,0.0,25.55138432660723,,66000000.0,0.7742843735335524,,,,38.6043596083478,4.751568455092844,79.21791113847544,,16.028555780498202,758.0842792610616,871.7565580950561,0.049564416007809,9.100796218221456
China,CHN,1971-01-01,70.12195998906962,78.42688872589206,21.57311127410795,8.070500927643785,0.0,0.0,8.304928736822424,,0.0,0.0,,,,-0.7906073111177898,0.6597493515552489,59.899342757440266,,39.440907891004485,151.9893473466452,464.93315697802296,0.0830073922847216,
Colombia,COL,1971-01-01,13.113953715457475,34.93799433649058,65.06200566350942,10.877843960550727,9.217849819353578,0.0,12.606190801679523,,0.0,0.0,,,,-39.839774584194686,4.136795859868818,63.93817814158299,,31.925025998548197,426.38747498121154,647.1136529811408,0.851229095538558,1.1791674025964638
"Congo, Dem. Rep.",COD,1971-01-01,0.0,3.0465444287729198,96.95345557122708,5.133991537376587,0.0,0.0,3.0465444287729198,,0.0,0.0,,,,11.187984667610834,4.425587140940027,12.27481994504212,,83.33305634298172,161.10692478792978,322.45200973767527,,
"Congo, Rep.",COG,1971-01-01,0.0,38.63636363636363,61.36363636363637,4.545454545454546,7.954545454545454,0.0,30.681818181818183,,0.0,0.0,,,,34.2238260048769,0.9132384173680486,37.72044364036813,,61.484504050971445,53.466318649538,353.09990077484497,1.01817292408217e-05,2.4847147536493317
Costa Rica,CRI,1971-01-01,0.0,9.581881533101045,89.54703832752612,0.0,0.0,0.0,9.581881533101045,,10000000.0,0.8710801393728222,,,,58.284087013451526,10.941408120908944,58.283963253066474,,30.774504865639535,602.4709706605034,424.0456240560151,0.0,4.521973579843626
Cote d'Ivoire,CIV,1971-01-01,0.0,76.36054421768708,23.639455782312925,12.074829931972788,0.0,0.0,76.36054421768708,,0.0,0.0,,,,33.228577713326715,0.48694051129975724,33.22857771332671,,66.28448177537354,90.40252203801907,429.2668460378603,0.0,4.798041811678437
Croatia,HRV,1971-01-01,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,1971-01-01,0.0,81.53386454183267,2.1912350597609564,10.637450199203187,0.0,0.0,81.53386454183267,,817000000.0,16.274900398406373,,,,61.93608488452143,0.09020124603581735,63.48279787864978,,36.42700087531442,497.0246658738942,1161.9763056841296,0.00570077252332642,
Curacao,CUW,1971-01-01,0.0,100.0,0.0,15.070422535211266,0.0,0.0,100.0,,0.0,0.0,,,,100.0,0.0,99.99999999999997,,0.0,4091.214405416958,37113.33953008705,,
Cyprus,CYP,1971-01-01,0.0,100.0,0.0,7.518796992481203,0.0,0.0,100.0,,0.0,0.0,,,,98.44658144037764,0.0,98.44641114674032,,1.5534185596223569,954.3569108630645,911.2494626893002,,8.013737887563536
Czechia,CZE,1971-01-01,84.84273617068074,96.6787638843066,3.3212361156933907,6.7826899813043005,1.0035191905861651,0.0,10.832508523039701,,0.0,0.0,,,,11.976095759039564,0.22890761569961454,99.42076378570819,,0.0,3424.2020430831353,4618.408711266061,,
Denmark,DNK,1971-01-01,18.594286941580755,99.87113402061856,0.12886597938144329,7.946735395189003,0.0,0.0,81.27684707903781,,0.0,0.0,,,,98.22093287920521,0.011153619273799953,99.13182259433617,,1.7679135015209773,3059.362184236306,3728.5380222061663,0.0,12.14467674320906
Dominican Republic,DOM,1971-01-01,0.0,64.8881239242685,30.751577739529544,12.966150315547905,0.0,0.0,64.8881239242685,,76000000.0,4.360298336201951,,,,48.21823392667857,1.9694339543641273,48.218276651295774,,49.8123321189573,329.79400809723643,508.8373706830301,0.0,
Ecuador,ECU,1971-01-01,0.0,58.0952380952381,41.904761904761905,14.000000000000002,0.0,0.0,58.0952380952381,,0.0,0.0,,,,40.805801888036584,1.6916063867976023,49.057613413401505,,49.25078019980088,142.18358719585623,352.2196070379459,0.002527358757346,8.395889711634592
"Egypt, Arab Rep.",EGY,1971-01-01,0.0,36.97174293573393,63.02825706426607,9.777444361090271,0.0,0.0,36.97174293573393,,0.0,0.0,,,,-109.71259457263834,5.5585273337490975,86.08305159850323,,8.358446711087769,202.94764009947247,219.3526493399744,1.08080725576004,7.682388060740062
El Salvador,SLV,1971-01-01,0.0,29.268292682926827,70.73170731707317,13.414634146341465,0.0,0.0,29.268292682926827,,0.0,0.0,,,,28.374193997640422,2.562312679543679,28.374251074907637,,69.0634933228159,172.32963233648238,472.4936016893158,0.0,5.28210659713007
Eritrea,ERI,1971-01-01,,,,,,,,,,,,,,,,,,,,,,
Estonia,EST,1971-01-01,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,1971-01-01,0.0,48.735244519392914,51.264755480607086,6.913996627318718,0.0,0.0,48.735244519392914,,0.0,0.0,,,,3.4440015829433164,0.18794037292620586,3.443994394281564,,96.36805804413048,18.969336823049833,478.0408620134013,,
Finland,FIN,1971-01-01,27.950740279507404,50.984733176514,49.015266823486,7.933213412665467,0.0,0.0,23.033992897006595,,0.0,0.0,,,,72.57189375020985,5.030358105099424,71.34598882768893,,22.28205654627086,4889.50427178454,3939.211087993298,0.0,13.71098514304799
France,FRA,1971-01-01,29.369453766145437,62.20829135894359,31.342517436749674,6.664142856226219,4.75331891767031,5.9904137979711125,28.085518675127847,,715000000.0,0.4587774063356197,,,,69.97681990842372,4.211632358698758,89.92143247490793,,5.940476362173365,2761.7013874157706,3038.618615055427,0.00471771277950839,13.876727446426512
Gabon,GAB,1971-01-01,0.0,100.0,0.0,1.7543859649122806,0.0,0.0,100.0,,0.0,0.0,,,,-502.8532513501167,0.0,54.56274527937911,,45.437161303099685,183.69900917346928,1755.741004079102,0.628361756002457,1.222526182607251
Georgia,GEO,1971-01-01,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,1971-01-01,74.9893811745796,93.14314176666697,4.111548087236325,5.4356163044042916,6.493526336214932,1.8994710449840948,11.66023425587244,,2768000000.0,0.8458391011126084,,,,42.564090085243315,0.9103634875012362,98.0588816459674,,0.8324790150033838,4064.4547161243363,3895.2647255478228,0.14208225177099,16.62054389951216
Ghana,GHA,1971-01-01,0.0,1.188858695652174,98.81114130434783,6.114130434782608,0.0,0.0,1.188858695652174,,0.0,0.0,,,,21.997565767495754,8.349077084140545,21.99753239441508,,69.65335714836371,303.44022611785994,328.9567606460423,0.0,6.108733216939244
Gibraltar,GIB,1971-01-01,0.0,100.0,0.0,4.25531914893617,0.0,0.0,100.0,,0.0,0.0,,,,100.0,0.0,100.0,,0.0,1662.4182644353318,1090.7680372381692,,
Greece,GRC,1971-01-01,43.18457014357377,77.0627919045148,22.93720809548521,8.432797093928386,0.0,0.0,33.87822176094101,,0.0,0.0,,,,76.00785536571398,2.6245004235273863,92.20331017636022,,5.177137553248744,1198.2739058022185,984.0420761505219,,7.313115498496243
Grenada,GRD,1971-01-01,,,,,,,,,,,,,,,,,,,,,,
Guam,GUM,1971-01-01,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,1971-01-01,0.0,59.60729312762973,36.4656381486676,3.225806451612903,0.0,0.0,59.60729312762973,,28000000.0,3.9270687237026647,,,,29.28304183087945,0.817696472970853,29.28304183087945,,69.8992616961497,123.44435513116142,489.2173144841555,0.0,5.042937107972045
Guinea,GIN,1971-01-01,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,1971-01-01,,,,,,,,,,,,,,,,,,,,,,6.653035062523865
Guyana,GUY,1971-01-01,,,,,,,,,,,,,,,,,,,,,,8.809119286929306
Haiti,HTI,1971-01-01,0.0,52.4390243902439,32.926829268292686,28.04878048780488,0.0,0.0,52.4390243902439,,12000000.0,14.634146341463413,,,,8.400492961865917,0.15434971044472923,8.400360016378885,,91.44515732768936,12.378255140175348,315.61949075858354,,6.397404288734962
Honduras,HND,1971-01-01,0.0,38.107416879795394,61.892583120204606,9.462915601023019,0.0,0.0,38.107416879795394,,0.0,0.0,,,,27.13549390270239,1.4981931266826958,27.135493902702386,,71.36631297061491,123.45244169051729,484.4427255648734,0.0,9.021849033728193
"Hong Kong SAR, China",HKG,1971-01-01,0.0,100.0,0.0,5.81270182992465,0.0,0.0,100.0,,0.0,0.0,,,,98.96650434587922,0.0,98.38182300370752,,1.6182103133670769,1297.8023879563939,741.9632660124095,0.0,3.222752173341254
