Country Code,Year,Fertility Value,Future Fertility,Replacement Reached,Low Surpassed,Population/1000,(Population/1000)^2,pcap GDP,logpercapGDP,Life Expectancy at Birth,Life Exp Sq,% Urban pop,Paid Parental Leave,FemTravel,FemDiv,FemBankAccnt
AFG,1960,7.45,7.45,1,1,8996.967,80945415.2,59.7732337,1.776506752,32.446,1052.742916,8.401,0,0,0,1
AUS,1960,3.453,2.888,1,1,10276.477,105605979.5,1810.61923,3.257827129,70.81707317,5015.057852,81.529,0,0,1,1
AUT,1960,2.69,2.58,1,1,7047.539,49667805.96,935.4604269,2.97102542,68.58560976,4703.985866,64.72,0,1,1,1
BDI,1960,6.944,7.227,1,1,2797.925,7828384.306,70.0519099,1.84541998,41.281,1704.120961,2.077,0,1,0,1
BEL,1960,2.54,2.31,1,1,9153.489,83786360.87,1273.691659,3.105064305,69.70195122,4858.362004,92.46,0,1,1,0
BEN,1960,6.282,6.671,1,1,2431.617,5912761.235,93.02270027,1.968588942,37.271,1389.127441,9.275,0,0,1,1
BFA,1960,6.291,6.563,1,1,4829.289,23322032.25,68.4247344,1.83521312,34.432,1185.562624,4.7,0,1,1,1
BGD,1960,6.725,6.935,1,1,48013.505,2305296662,89.03523943,1.949561931,45.379,2059.253641,5.135,0,0,0,1
BHS,1960,4.495,3.646,1,1,109.532,11997.25902,1550.267699,3.190406698,64.74,4191.2676,59.712,0,1,0,1
BLZ,1960,6.5,6.337,1,1,92.068,8476.516624,304.9038598,2.484162922,59.981,3597.720361,54.028,0,0,1,1
BOL,1960,6.358,6.086,1,1,3656.961,13373363.76,102.2377224,2.009611166,41.82,1748.9124,36.762,0,1,1,0
BWA,1960,6.615,6.687,1,1,502.733,252740.4693,60.493958,1.781712,49.179,2418.574041,3.06,0,0,1,0
CAF,1960,5.84,5.956,1,1,1501.668,2255006.782,74.68734697,1.873247033,36.249,1313.990001,20.1,0,1,1,1
CAN,1960,3.811,2.386,1,1,17909.009,320732603.4,2259.294285,3.353972804,71.13317073,5059.927978,69.061,0,1,1,1
CHE,1960,2.44,2.29,1,1,5327.827,28385740.54,1787.360348,3.252212119,71.31341463,5085.603107,70.924,0,1,1,1
CHL,1960,4.697,4.025,1,1,8132.988,66145493.81,505.3493255,2.70359169,57.219,3274.013961,67.836,0,1,1,0
CHN,1960,5.756,6.184,1,1,667070,4.44982E+11,89.52054151,1.951922701,43.725,1911.875625,16.203,0,1,1,1
CIV,1960,7.691,7.912,1,1,3503.559,12274925.67,155.8996328,2.192845092,36.095,1302.849025,17.679,0,0,1,1
CMR,1960,5.647,6.108,1,1,5176.92,26800500.69,118.6431452,2.074242651,41.785,1745.986225,13.937,0,0,1,1
COD,1960,6.001,6.161,1,1,15248.256,232509311,220.3139899,2.343042076,41.098,1689.045604,22.3,0,1,1,0
COG,1960,5.88,6.211,1,1,1018.254,1036841.209,129.3703364,2.111834708,45.721,2090.409841,31.601,0,0,1,1
COL,1960,6.735,5.737,1,1,16057.714,257850178.9,251.0415229,2.399745561,57.269,3279.738361,46.268,0,1,0,1
CRI,1960,6.712,5.13,1,1,1330.787,1770994.039,381.3636818,2.581339332,60.381,3645.865161,34.254,0,1,0,1
DOM,1960,7.555,6.561,1,1,3294.222,10851898.59,204.1148714,2.309874648,51.602,2662.766404,30.191,0,1,0,0
DZA,1960,7.524,7.666,1,1,11057.864,122276356.2,246.3037513,2.391471026,46.141,2128.991881,30.51,0,0,0,1
ECU,1960,6.721,6.351,1,1,4543.658,20644828.02,455.4623888,2.65845252,52.982,2807.092324,33.878,0,1,0,0
ESP,1960,2.86,2.87,1,1,30455,927507025,396.3922533,2.598125159,69.10926829,4776.090964,56.567,0,0,0,0
FIN,1960,2.72,2.14,1,1,4429.634,19621657.37,1179.353011,3.07164382,68.8197561,4736.158829,55.29,0,1,1,1
FJI,1960,6.461,4.892,1,1,393.48,154826.5104,285.4742861,2.455566996,60.811,3697.977721,29.681,0,0,1,1
FRA,1960,2.85,2.69,1,1,46621.688,2173581792,1334.689512,3.125380248,69.86829268,4881.578322,61.88,0,1,1,1
GAB,1960,4.384,4.961,1,1,500.922,250922.8501,282.4171795,2.450891111,39.694,1575.613636,17.398,0,0,1,1
GBR,1960,2.69,2.6,1,1,52400,2745760000,1397.594803,3.145381277,71.12682927,5059.025842,78.444,0,0,0,1
GHA,1960,6.749,6.957,1,1,6635.229,44026263.88,183.4495898,2.263516745,45.843,2101.580649,23.252,0,1,1,1
GRC,1960,2.23,2.42,1,1,8331.725,69417641.48,520.3227443,2.71627281,68.16390244,4646.317596,55.936,0,-9,-9,-9
GTM,1960,6.896,6.685,1,1,4128.88,17047650.05,252.7561712,2.402701768,46.702,2181.076804,31.121,0,1,0,1
GUY,1960,6.372,5.642,1,1,571.813,326970.107,297.6764225,2.473744438,60.26,3631.2676,29.009,0,0,0,1
HKG,1960,5.014,3.649,1,1,3075.605,9459346.116,429.4428744,2.632905401,66.96168293,4483.86698,85.2,0,1,1,1
HND,1960,7.458,7.383,1,1,2038.636,4156036.74,164.6443995,2.216546962,46.274,2141.283076,22.747,0,1,0,1
HTI,1960,6.324,5.937,1,1,3866.162,14947208.61,70.66108456,1.849180299,41.762,1744.064644,15.593,0,0,0,0
IND,1960,5.906,5.702,1,1,450547.675,2.02993E+11,82.18860274,1.914811597,41.422,1715.782084,17.924,0,1,1,1
IRL,1960,3.78,3.77,1,1,2828.6,8000977.96,685.6147124,2.836080128,69.7965122,4871.553115,45.184,0,1,0,1
IRN,1960,6.927,6.617,1,1,21906.909,479912661.9,191.680825,2.28257867,44.947,2020.232809,33.735,0,0,0,1
ISL,1960,4.29,3.06,1,1,175.574,30826.22948,1414.982269,3.150750998,73.42317073,5390.962,80.3,0,1,1,1
ITA,1960,2.4,2.46,1,1,50199.7,2520009880,804.4926233,2.905522066,69.12390244,4778.113888,59.361,0,1,0,1
JAM,1960,5.419,5.722,1,1,1628.524,2652090.419,429.2541461,2.632714499,64.77,4195.1529,33.769,0,1,0,1
JPN,1960,2.001,2.13,1,1,93216,8689222656,475.3190756,2.676985244,67.66609756,4578.700759,63.272,0,1,1,1
KEN,1960,7.946,8.117,1,1,8120.082,65935731.69,97.44550102,1.988761793,46.76,2186.4976,7.362,0,1,1,0
KHM,1960,6.967,6.666,1,1,5722.372,32745541.31,111.3424408,2.046660738,41.242,1700.902564,10.285,0,1,1,1
KOR,1960,6.095,4.617,1,1,25012.374,625618853.1,158.2493033,2.199341807,55.41553659,3070.881695,27.71,0,1,1,1
LKA,1960,5.541,4.609,1,1,9874.476,97505276.27,142.7796219,2.154666228,59.369,3524.678161,16.431,0,1,1,1
LSO,1960,5.839,5.805,1,1,837.264,701011.0057,41.30036454,1.615953885,47.919,2296.230561,3.512,0,1,1,0
LUX,1960,2.29,2.12,1,1,313.97,98577.1609,2242.015817,3.350638672,68.44639024,4684.908337,69.556,0,1,1,0
MAR,1960,7.04,6.821,1,1,12328.532,151992701.3,164.8008324,2.216959401,48.458,2348.177764,29.357,0,0,0,1
MDG,1960,7.3,7.297,1,1,5099.368,26003554,131.9931654,2.120551444,39.962,1596.961444,10.642,0,0,1,1
MEX,1960,6.769,6.734,1,1,37771.861,1426713483,345.2305408,2.538109209,57.077,3257.783929,50.753,0,1,0,1
MWI,1960,6.94,7.221,1,1,3659.98,13395453.6,44.52394299,1.648593618,36.672,1344.835584,4.39,0,0,1,1
MYS,1960,6.45,5.34,1,1,8156.342,66525914.82,234.9388974,2.370954926,59.991,3598.920081,26.598,0,1,0,1
NER,1960,7.454,7.551,1,1,3388.774,11483789.22,132.651771,2.122713052,35.053,1228.712809,5.793,0,1,0,1
NGA,1960,6.354,6.387,1,1,45138.46,2037480571,92.9604656,1.96829829,36.976,1367.224576,15.41,0,0,1,1
NIC,1960,7.365,6.941,1,1,1773.132,3143997.089,126.248168,2.101225085,46.998,2208.812004,39.581,0,1,0,1
NLD,1960,3.12,2.72,1,1,11486.631,131942691.7,1068.784587,3.028890182,73.39268293,5386.485907,59.752,0,1,1,1
NOR,1960,2.85,2.75,1,1,3581.239,12825272.78,1441.75566,3.158891665,73.5497561,5409.566622,49.92,0,1,1,1
NPL,1960,5.959,5.948,1,1,10105.06,102112237.6,50.30493772,1.701610616,35.583,1266.149889,3.48,0,1,0,1
NZL,1960,4.03,3.332,1,1,2371.8,5625435.24,2312.949992,3.364166243,71.23658537,5074.651095,75.998,0,1,1,1
PAK,1960,6.6,6.6,1,1,44988.69,2023982228,83.33794593,1.920842792,45.299,2051.999401,22.104,0,0,0,1
PAN,1960,5.87,5.378,1,1,1133.005,1283700.33,474.0906704,2.675861409,60.864,3704.426496,41.249,0,1,0,0
PER,1960,6.941,6.513,1,1,10155.011,103124248.4,253.2649213,2.403575042,48.012,2305.152144,46.811,0,1,1,1
PHL,1960,7.148,6.485,1,1,26269.741,690099292.2,286.1043301,2.456524431,61.105,3733.821025,30.297,0,0,0,0
PNG,1960,6.275,6.208,1,1,2255.858,5088895.316,102.1766587,2.009351697,38.935,1515.934225,3.725,0,0,1,1
PRI,1960,4.657,3.377,1,1,2358,5560164,717.5148431,2.85583089,68.71960976,4722.384765,44.547,0,1,1,1
PRT,1960,3.16,3.12,1,1,8857.716,78459132.74,360.4992985,2.556904424,63.27290244,4003.460183,34.955,0,0,1,0
RWA,1960,8.187,8.207,1,1,2935.575,8617600.581,40.53721128,1.607853868,42.616,1816.123456,2.6,0,1,1,1
SDN,1960,6.691,6.865,1,1,7544.498,56919450.07,125.859839,2.099887172,48.194,2322.661636,10.746,0,0,0,1
SEN,1960,6.996,7.251,1,1,3206.757,10283290.46,312.9929628,2.495534573,38.223,1460.997729,23,0,1,1,1
SGP,1960,5.76,3.53,1,1,1646.4,2710632.96,428.05898,2.631503612,65.65982927,4311.21318,100,0,1,0,1
SLE,1960,6.127,6.434,1,1,2317.638,5371445.899,138.9386399,2.142823043,31.566,996.412356,17.352,0,1,1,0
SOM,1960,7.25,7.232,1,1,2755.967,7595354.105,65.47971611,1.816106788,36.976,1367.224576,17.312,0,1,0,1
SUR,1960,6.608,5.922,1,1,287.87,82869.1369,346.1631987,2.539280895,59.682,3561.941124,47.26,0,1,1,0
SWE,1960,2.17,2.07,0,1,7484.656,56020075.44,2114.002973,3.325105594,73.00560976,5329.819056,72.49,0,1,1,1
SWZ,1960,6.752,6.861,1,1,336.578,113284.7501,104.2140558,2.017926298,43.572,1898.519184,3.913,0,1,0,0
SYR,1960,7.467,7.574,1,1,4573.514,20917030.31,187.5372883,2.273087632,51.971,2700.984841,36.807,0,1,0,1
TCD,1960,6.25,6.432,1,1,3001.604,9009626.573,104.4717189,2.01899874,38.02,1445.5204,6.695,0,1,1,1
TGO,1960,6.521,6.971,1,1,1580.508,2498005.538,76.63869662,1.88444811,40.297,1623.848209,10.098,0,1,1,0
THA,1960,6.147,5.903,1,1,27397.208,750607006.2,100.767475,2.003320376,54.701,2992.199401,19.672,0,1,0,1
TTO,1960,5.264,3.802,1,1,847.973,719058.2087,631.7065847,2.800515404,62.222,3871.577284,34.155,0,0,0,1
TUR,1960,6.366,5.778,1,1,27472.339,754729410.1,509.4239634,2.70707937,45.369,2058.346161,31.515,0,1,1,1
UGA,1960,6.999,7.117,1,1,6767.092,45793534.14,62.50962537,1.795946896,44.359,1967.720881,4.417,0,0,0,1
URY,1960,2.88,2.844,1,1,2538.648,6444733.668,489.350725,2.689620236,67.783,4594.535089,80.241,0,1,1,1
USA,1960,3.654,2.464,1,1,180671,32642010241,3007.123445,3.478151257,69.77073171,4867.955003,69.996,0,1,1,1
VCT,1960,7.224,6.345,1,1,80.97,6556.1409,161.3752968,2.207837054,59.26,3511.7476,25.943,0,0,0,1
